Subscription type: 4
Trying 127.0.0.1:40001...
Connected to 127.0.0.1:40001
Message_type information: P - Market status, M - Quote, T - Trade
T, 100298, REL, 398.5

T, 100299, REL, 399.5

T, 100300, REL, 400.5

T, 100301, REL, 401.5

T, 100302, REL, 402.5

T, 100303, REL, 403.5

T, 100304, REL, 404.5

T, 100305, REL, 405.5

T, 100306, REL, 406.5

T, 100307, REL, 407.5

T, 100308, REL, 408.5

T, 100309, REL, 409.5

T, 100310, REL, 410.5

T, 100311, REL, 411.5

T, 100312, REL, 412.5

T, 100313, REL, 413.5

T, 100314, REL, 414.5

T, 100315, REL, 415.5

T, 100316, REL, 416.5

T, 100317, REL, 417.5

T, 100318, REL, 418.5

T, 100319, REL, 419.5

T, 100320, REL, 420.5

T, 100321, REL, 421.5

T, 100322, REL, 422.5

T, 100323, REL, 423.5

T, 100324, REL, 424.5

T, 100325, REL, 425.5

T, 100326, REL, 426.5

T, 100327, REL, 427.5

T, 100328, REL, 428.5

T, 100329, REL, 429.5

T, 100330, REL, 430.5

T, 100331, REL, 431.5

T, 100332, REL, 432.5

T, 100333, REL, 433.5

T, 100334, REL, 434.5

T, 100335, REL, 435.5

T, 100336, REL, 436.5

T, 100337, REL, 437.5

T, 100338, REL, 438.5

T, 100339, REL, 439.5

T, 100340, REL, 440.5

T, 100341, REL, 441.5

T, 100342, REL, 442.5

T, 100343, REL, 443.5

T, 100344, REL, 444.5

T, 100345, REL, 445.5

T, 100346, REL, 446.5

T, 100347, REL, 447.5

T, 100348, REL, 448.5

T, 100349, REL, 449.5

T, 100350, REL, 450.5

T, 100351, REL, 451.5

T, 100352, REL, 452.5

T, 100353, REL, 453.5

T, 100354, REL, 454.5

T, 100355, REL, 455.5

T, 100356, REL, 456.5

T, 100357, REL, 457.5

T, 100358, REL, 458.5

T, 100359, REL, 459.5

T, 100360, REL, 460.5

T, 100361, REL, 461.5

T, 100362, REL, 462.5

T, 100363, REL, 463.5

T, 100364, REL, 464.5

T, 100365, REL, 465.5

T, 100366, REL, 466.5

T, 100367, REL, 467.5

T, 100368, REL, 468.5

T, 100369, REL, 469.5

T, 100370, REL, 470.5

T, 100371, REL, 471.5

T, 100372, REL, 472.5

T, 100373, REL, 473.5

T, 100374, REL, 474.5

T, 100375, REL, 475.5

T, 100376, REL, 476.5

T, 100377, REL, 477.5

T, 100378, REL, 478.5

T, 100379, REL, 479.5

T, 100380, REL, 480.5

T, 100381, REL, 481.5

T, 100382, REL, 482.5

T, 100383, REL, 483.5

T, 100384, REL, 484.5

T, 100385, REL, 485.5

T, 100386, REL, 486.5

T, 100387, REL, 487.5

T, 100388, REL, 488.5

T, 100389, REL, 489.5

T, 100390, REL, 490.5

T, 100391, REL, 491.5

T, 100392, REL, 492.5

T, 100393, REL, 493.5

T, 100394, REL, 494.5

T, 100395, REL, 495.5

T, 100396, REL, 496.5

T, 100397, REL, 497.5

T, 100398, REL, 498.5

T, 100399, REL, 499.5

T, 100400, REL, 500.5

T, 100401, REL, 501.5

T, 100402, REL, 502.5

T, 100403, REL, 503.5

T, 100404, REL, 504.5

T, 100405, REL, 505.5

T, 100406, REL, 506.5

T, 100407, REL, 507.5

T, 100408, REL, 508.5

T, 100409, REL, 509.5

T, 100410, REL, 510.5

T, 100411, REL, 511.5

T, 100412, REL, 512.5

T, 100413, REL, 513.5

T, 100414, REL, 514.5

T, 100415, REL, 515.5

T, 100416, REL, 516.5

T, 100417, REL, 517.5

T, 100418, REL, 518.5

T, 100419, REL, 519.5

T, 100420, REL, 520.5

T, 100421, REL, 521.5

T, 100422, REL, 522.5

T, 100423, REL, 523.5

T, 100424, REL, 524.5

T, 100425, REL, 525.5

T, 100426, REL, 526.5

T, 100427, REL, 527.5

T, 100428, REL, 528.5

T, 100429, REL, 529.5

T, 100430, REL, 530.5

T, 100431, REL, 531.5

T, 100432, REL, 532.5

T, 100433, REL, 533.5

T, 100434, REL, 534.5

T, 100435, REL, 535.5

T, 100436, REL, 536.5

T, 100437, REL, 537.5

T, 100438, REL, 538.5

T, 100439, REL, 539.5

T, 100440, REL, 540.5

T, 100441, REL, 541.5

T, 100442, REL, 542.5

T, 100443, REL, 543.5

T, 100444, REL, 544.5

T, 100445, REL, 545.5

T, 100446, REL, 546.5

T, 100447, REL, 547.5

T, 100448, REL, 548.5

T, 100449, REL, 549.5

T, 100450, REL, 550.5

T, 100451, REL, 551.5

T, 100452, REL, 552.5

T, 100453, REL, 553.5

T, 100454, REL, 554.5

T, 100455, REL, 555.5

T, 100456, REL, 556.5

T, 100457, REL, 557.5

T, 100458, REL, 558.5

T, 100459, REL, 559.5

T, 100460, REL, 560.5

T, 100461, REL, 561.5

T, 100462, REL, 562.5

T, 100463, REL, 563.5

T, 100464, REL, 564.5

T, 100465, REL, 565.5

T, 100466, REL, 566.5

T, 100467, REL, 567.5

T, 100468, REL, 568.5

T, 100469, REL, 569.5

T, 100470, REL, 570.5

T, 100471, REL, 571.5

T, 100472, REL, 572.5

T, 100473, REL, 573.5

T, 100474, REL, 574.5

T, 100475, REL, 575.5

T, 100476, REL, 576.5

T, 100477, REL, 577.5

T, 100478, REL, 578.5

T, 100479, REL, 579.5

T, 100480, REL, 580.5

T, 100481, REL, 581.5

T, 100482, REL, 582.5

T, 100483, REL, 583.5

T, 100484, REL, 584.5

T, 100485, REL, 585.5

T, 100486, REL, 586.5

T, 100487, REL, 587.5

T, 100488, REL, 588.5

T, 100489, REL, 589.5

T, 100490, REL, 590.5

T, 100491, REL, 591.5

T, 100492, REL, 592.5

T, 100493, REL, 593.5

T, 100494, REL, 594.5

T, 100495, REL, 595.5

T, 100496, REL, 596.5

T, 100497, REL, 597.5

T, 100498, REL, 598.5

T, 100499, REL, 599.5

T, 100500, REL, 600.5

T, 100501, REL, 601.5

T, 100502, REL, 602.5

T, 100503, REL, 603.5

T, 100504, REL, 604.5

T, 100505, REL, 605.5

T, 100506, REL, 606.5

T, 100507, REL, 607.5

T, 100508, REL, 608.5

T, 100509, REL, 609.5

T, 100510, REL, 610.5

T, 100511, REL, 611.5

T, 100512, REL, 612.5

T, 100513, REL, 613.5

T, 100514, REL, 614.5

T, 100515, REL, 615.5

T, 100516, REL, 616.5

T, 100517, REL, 617.5

T, 100518, REL, 618.5

T, 100519, REL, 619.5

T, 100520, REL, 620.5

T, 100521, REL, 621.5

T, 100522, REL, 622.5

T, 100523, REL, 623.5

T, 100524, REL, 624.5

T, 100525, REL, 625.5

T, 100526, REL, 626.5

T, 100527, REL, 627.5

T, 100528, REL, 628.5

T, 100529, REL, 629.5

T, 100530, REL, 630.5

T, 100531, REL, 631.5

T, 100532, REL, 632.5

T, 100533, REL, 633.5

T, 100534, REL, 634.5

T, 100535, REL, 635.5

T, 100536, REL, 636.5

T, 100537, REL, 637.5

T, 100538, REL, 638.5

T, 100539, REL, 639.5

T, 100540, REL, 640.5

T, 100541, REL, 641.5

T, 100542, REL, 642.5

T, 100543, REL, 643.5

T, 100544, REL, 644.5

T, 100545, REL, 645.5

T, 100546, REL, 646.5

T, 100547, REL, 647.5

T, 100548, REL, 648.5

T, 100549, REL, 649.5

T, 100550, REL, 650.5

T, 100551, REL, 651.5

T, 100552, REL, 652.5

T, 100553, REL, 653.5

T, 100554, REL, 654.5

T, 100555, REL, 655.5

T, 100556, REL, 656.5

T, 100557, REL, 657.5

T, 100558, REL, 658.5

T, 100559, REL, 659.5

T, 100560, REL, 660.5

T, 100561, REL, 661.5

T, 100562, REL, 662.5

T, 100563, REL, 663.5

T, 100564, REL, 664.5

T, 100565, REL, 665.5

T, 100566, REL, 666.5

T, 100567, REL, 667.5

T, 100568, REL, 668.5

T, 100569, REL, 669.5

T, 100570, REL, 670.5

T, 100571, REL, 671.5

T, 100572, REL, 672.5

T, 100573, REL, 673.5

T, 100574, REL, 674.5

T, 100575, REL, 675.5

T, 100576, REL, 676.5

T, 100577, REL, 677.5

T, 100578, REL, 678.5

T, 100579, REL, 679.5

T, 100580, REL, 680.5

T, 100581, REL, 681.5

T, 100582, REL, 682.5

T, 100583, REL, 683.5

T, 100584, REL, 684.5

T, 100585, REL, 685.5

T, 100586, REL, 686.5

T, 100587, REL, 687.5

T, 100588, REL, 688.5

T, 100589, REL, 689.5

T, 100590, REL, 690.5

T, 100591, REL, 691.5

T, 100592, REL, 692.5

T, 100593, REL, 693.5

T, 100594, REL, 694.5

T, 100595, REL, 695.5

T, 100596, REL, 696.5

T, 100597, REL, 697.5

T, 100598, REL, 698.5

T, 100599, REL, 699.5

T, 100600, REL, 700.5

T, 100601, REL, 701.5

T, 100602, REL, 702.5

T, 100603, REL, 703.5

T, 100604, REL, 704.5

T, 100605, REL, 705.5

T, 100606, REL, 706.5

T, 100607, REL, 707.5

T, 100608, REL, 708.5

T, 100609, REL, 709.5

T, 100610, REL, 710.5

T, 100611, REL, 711.5

T, 100612, REL, 712.5

T, 100613, REL, 713.5

T, 100614, REL, 714.5

T, 100615, REL, 715.5

T, 100616, REL, 716.5

T, 100617, REL, 717.5

T, 100618, REL, 718.5

T, 100619, REL, 719.5

T, 100620, REL, 720.5

T, 100621, REL, 721.5

T, 100622, REL, 722.5

T, 100623, REL, 723.5

T, 100624, REL, 724.5

T, 100625, REL, 725.5

T, 100626, REL, 726.5

T, 100627, REL, 727.5

T, 100628, REL, 728.5

T, 100629, REL, 729.5

T, 100630, REL, 730.5

T, 100631, REL, 731.5

T, 100632, REL, 732.5

T, 100633, REL, 733.5

T, 100634, REL, 734.5

T, 100635, REL, 735.5

T, 100636, REL, 736.5

T, 100637, REL, 737.5

T, 100638, REL, 738.5

T, 100639, REL, 739.5

T, 100640, REL, 740.5

T, 100641, REL, 741.5

T, 100642, REL, 742.5

T, 100643, REL, 743.5

T, 100644, REL, 744.5

T, 100645, REL, 745.5

T, 100646, REL, 746.5

T, 100647, REL, 747.5

T, 100648, REL, 748.5

T, 100649, REL, 749.5

T, 100650, REL, 750.5

T, 100651, REL, 751.5

T, 100652, REL, 752.5

T, 100653, REL, 753.5

T, 100654, REL, 754.5

T, 100655, REL, 755.5

T, 100656, REL, 756.5

T, 100657, REL, 757.5

T, 100658, REL, 758.5

T, 100659, REL, 759.5

T, 100660, REL, 760.5

T, 100661, REL, 761.5

T, 100662, REL, 762.5

T, 100663, REL, 763.5

T, 100664, REL, 764.5

T, 100665, REL, 765.5

T, 100666, REL, 766.5

T, 100667, REL, 767.5

T, 100668, REL, 768.5

T, 100669, REL, 769.5

T, 100670, REL, 770.5

T, 100671, REL, 771.5

T, 100672, REL, 772.5

T, 100673, REL, 773.5

T, 100674, REL, 774.5

T, 100675, REL, 775.5

T, 100676, REL, 776.5

T, 100677, REL, 777.5

T, 100678, REL, 778.5

T, 100679, REL, 779.5

T, 100680, REL, 780.5

T, 100681, REL, 781.5

T, 100682, REL, 782.5

T, 100683, REL, 783.5

T, 100684, REL, 784.5

T, 100685, REL, 785.5

T, 100686, REL, 786.5

T, 100687, REL, 787.5

T, 100688, REL, 788.5

T, 100689, REL, 789.5

T, 100690, REL, 790.5

T, 100691, REL, 791.5

T, 100692, REL, 792.5

T, 100693, REL, 793.5

T, 100694, REL, 794.5

T, 100695, REL, 795.5

T, 100696, REL, 796.5

T, 100697, REL, 797.5

T, 100698, REL, 798.5

T, 100699, REL, 799.5

T, 100700, REL, 800.5

T, 100701, REL, 801.5

T, 100702, REL, 802.5

T, 100703, REL, 803.5

T, 100704, REL, 804.5

T, 100705, REL, 805.5

T, 100706, REL, 806.5

T, 100707, REL, 807.5

T, 100708, REL, 808.5

T, 100709, REL, 809.5

T, 100710, REL, 810.5

T, 100711, REL, 811.5

T, 100712, REL, 812.5

T, 100713, REL, 813.5

T, 100714, REL, 814.5

T, 100715, REL, 815.5

T, 100716, REL, 816.5

T, 100717, REL, 817.5

T, 100718, REL, 818.5

T, 100719, REL, 819.5

T, 100720, REL, 820.5

T, 100721, REL, 821.5

T, 100722, REL, 822.5

T, 100723, REL, 823.5

T, 100724, REL, 824.5

T, 100725, REL, 825.5

T, 100726, REL, 826.5

T, 100727, REL, 827.5

T, 100728, REL, 828.5

T, 100729, REL, 829.5

T, 100730, REL, 830.5

T, 100731, REL, 831.5

T, 100732, REL, 832.5

T, 100733, REL, 833.5

T, 100734, REL, 834.5

T, 100735, REL, 835.5

T, 100736, REL, 836.5

T, 100737, REL, 837.5

T, 100738, REL, 838.5

T, 100739, REL, 839.5

T, 100740, REL, 840.5

T, 100741, REL, 841.5

T, 100742, REL, 842.5

T, 100743, REL, 843.5

T, 100744, REL, 844.5

T, 100745, REL, 845.5

T, 100746, REL, 846.5

T, 100747, REL, 847.5

T, 100748, REL, 848.5

T, 100749, REL, 849.5

T, 100750, REL, 850.5

T, 100751, REL, 851.5

T, 100752, REL, 852.5

T, 100753, REL, 853.5

T, 100754, REL, 854.5

T, 100755, REL, 855.5

T, 100756, REL, 856.5

T, 100757, REL, 857.5

T, 100758, REL, 858.5

T, 100759, REL, 859.5

T, 100760, REL, 860.5

T, 100761, REL, 861.5

T, 100762, REL, 862.5

T, 100763, REL, 863.5

T, 100764, REL, 864.5

T, 100765, REL, 865.5

T, 100766, REL, 866.5

T, 100767, REL, 867.5

T, 100768, REL, 868.5

T, 100769, REL, 869.5

T, 100770, REL, 870.5

T, 100771, REL, 871.5

T, 100772, REL, 872.5

T, 100773, REL, 873.5

T, 100774, REL, 874.5

T, 100775, REL, 875.5

T, 100776, REL, 876.5

T, 100777, REL, 877.5

T, 100778, REL, 878.5

T, 100779, REL, 879.5

T, 100780, REL, 880.5

T, 100781, REL, 881.5

T, 100782, REL, 882.5

T, 100783, REL, 883.5

T, 100784, REL, 884.5

T, 100785, REL, 885.5

T, 100786, REL, 886.5

T, 100787, REL, 887.5

T, 100788, REL, 888.5

T, 100789, REL, 889.5

T, 100790, REL, 890.5

T, 100791, REL, 891.5

T, 100792, REL, 892.5

T, 100793, REL, 893.5

T, 100794, REL, 894.5

T, 100795, REL, 895.5

T, 100796, REL, 896.5

T, 100797, REL, 897.5

T, 100798, REL, 898.5

T, 100799, REL, 899.5

T, 100800, REL, 900.5

T, 100801, REL, 901.5

T, 100802, REL, 902.5

T, 100803, REL, 903.5

T, 100804, REL, 904.5

T, 100805, REL, 905.5

T, 100806, REL, 906.5

T, 100807, REL, 907.5

T, 100808, REL, 908.5

T, 100809, REL, 909.5

T, 100810, REL, 910.5

T, 100811, REL, 911.5

T, 100812, REL, 912.5

T, 100813, REL, 913.5

T, 100814, REL, 914.5

T, 100815, REL, 915.5

T, 100816, REL, 916.5

T, 100817, REL, 917.5

T, 100818, REL, 918.5

T, 100819, REL, 919.5

T, 100820, REL, 920.5

T, 100821, REL, 921.5

T, 100822, REL, 922.5

T, 100823, REL, 923.5

T, 100824, REL, 924.5

T, 100825, REL, 925.5

T, 100826, REL, 926.5

T, 100827, REL, 927.5

T, 100828, REL, 928.5

T, 100829, REL, 929.5

T, 100830, REL, 930.5

T, 100831, REL, 931.5

T, 100832, REL, 932.5

T, 100833, REL, 933.5

T, 100834, REL, 934.5

T, 100835, REL, 935.5

T, 100836, REL, 936.5

T, 100837, REL, 937.5

T, 100838, REL, 938.5

T, 100839, REL, 939.5

T, 100840, REL, 940.5

T, 100841, REL, 941.5

T, 100842, REL, 942.5

T, 100843, REL, 943.5

T, 100844, REL, 944.5

T, 100845, REL, 945.5

T, 100846, REL, 946.5

T, 100847, REL, 947.5

T, 100848, REL, 948.5

T, 100849, REL, 949.5

T, 100850, REL, 950.5

T, 100851, REL, 951.5

T, 100852, REL, 952.5

T, 100853, REL, 953.5

T, 100854, REL, 954.5

T, 100855, REL, 955.5

T, 100856, REL, 956.5

T, 100857, REL, 957.5

T, 100858, REL, 958.5

T, 100859, REL, 959.5

T, 100860, REL, 960.5

T, 100861, REL, 961.5

T, 100862, REL, 962.5

T, 100863, REL, 963.5

T, 100864, REL, 964.5

T, 100865, REL, 965.5

T, 100866, REL, 966.5

T, 100867, REL, 967.5

T, 100868, REL, 968.5

T, 100869, REL, 969.5

T, 100870, REL, 970.5

T, 100871, REL, 971.5

T, 100872, REL, 972.5

T, 100873, REL, 973.5

T, 100874, REL, 974.5

T, 100875, REL, 975.5

T, 100876, REL, 976.5

T, 100877, REL, 977.5

T, 100878, REL, 978.5

T, 100879, REL, 979.5

T, 100880, REL, 980.5

T, 100881, REL, 981.5

T, 100882, REL, 982.5

T, 100883, REL, 983.5

T, 100884, REL, 984.5

T, 100885, REL, 985.5

T, 100886, REL, 986.5

T, 100887, REL, 987.5

T, 100888, REL, 988.5

T, 100889, REL, 989.5

T, 100890, REL, 990.5

T, 100891, REL, 991.5

T, 100892, REL, 992.5

T, 100893, REL, 993.5

T, 100894, REL, 994.5

T, 100895, REL, 995.5

T, 100896, REL, 996.5

T, 100897, REL, 997.5

T, 100898, REL, 998.5

T, 100899, REL, 999.5

T, 100900, REL, 1000.5

T, 100901, REL, 1001.5

T, 100902, REL, 1002.5

T, 100903, REL, 1003.5

T, 100904, REL, 1004.5

T, 100905, REL, 1005.5

T, 100906, REL, 1006.5

T, 100907, REL, 1007.5

T, 100908, REL, 1008.5

T, 100909, REL, 1009.5

T, 100910, REL, 1010.5

T, 100911, REL, 1011.5

T, 100912, REL, 1012.5

T, 100913, REL, 1013.5

T, 100914, REL, 1014.5

T, 100915, REL, 1015.5

T, 100916, REL, 1016.5

T, 100917, REL, 1017.5

T, 100918, REL, 1018.5

T, 100919, REL, 1019.5

T, 100920, REL, 1020.5

T, 100921, REL, 1021.5

T, 100922, REL, 1022.5

